Tarih;TP TRD100822A11;
2017-08;60,37;
2017-09;60,15;
2017-10;57,95;
2017-11;55,55;
2017-12;58,82;
2018-01;59,17;
2018-02;59,84;
2018-03;57,81;
2018-04;58,69;
2018-05;55,25;
2018-06;51,61;
2018-07;47,30;
2018-08;38,82;
2018-09;46,39;
2018-10;47,88;
2018-11;55,26;
2018-12;54,74;
2019-01;57,96;
2019-02;59,24;
2019-03;49,92;
2019-04;50,20;
2019-05;51,07;
2019-06;60,34;
2019-07;64,11;
2019-08;63,62;
2019-09;68,66;
2019-10;70,98;
2019-11;73,27;
2019-12;74,71;
2020-01;78,27;
2020-02;73,85;
2020-03;75,53;
2020-04;80,21;
2020-05;80,77;
2020-06;82,72;
2020-07;79,99;
2020-08;78,03;
2020-09;79,02;
2020-10;78,07;
2020-11;80,11;
2020-12;79,76;
2021-01;80,87;
2021-02;81,49;
2021-03;78,67;
2021-04;81,09;
2021-05;81,47;
2021-06;83,00;
2021-07;83,78;
2021-08;85,06;
2021-09;86,48;
2021-10;88,35;
2021-11;88,39;
2021-12;88,35;
2022-01;91,79;
2022-02;92,70;
2022-03;94,08;
2022-04;96,17;
2022-05;96,62;
;;
;;
Seri Açýklamalarý;;
TP.TRD100822A11;TRD100822A11 ( 16.08.2017 10.08.2022 )  Deðer (61D2A100822)-Düzey;Gözlem Deðeri: Bitiþ
;;
Notlar;;
