Tarih;TP FE OKTG01;
2017-08;311,85;
2017-09;313,88;
2017-10;320,40;
2017-11;325,18;
2017-12;327,41;
2018-01;330,75;
2018-02;333,17;
2018-03;336,48;
2018-04;342,78;
2018-05;348,34;
2018-06;357,44;
2018-07;359,41;
2018-08;367,66;
2018-09;390,84;
2018-10;401,27;
2018-11;395,48;
2018-12;393,88;
2019-01;398,07;
2019-02;398,71;
2019-03;402,81;
2019-04;409,63;
2019-05;413,52;
2019-06;413,63;
2019-07;419,24;
2019-08;422,84;
2019-09;427,04;
2019-10;435,59;
2019-11;437,25;
2019-12;440,50;
2020-01;446,45;
2020-02;448,02;
2020-03;450,58;
2020-04;454,43;
2020-05;460,62;
2020-06;465,84;
2020-07;468,56;
2020-08;472,61;
2020-09;477,21;
2020-10;487,38;
2020-11;498,58;
2020-12;504,81;
2021-01;513,30;
2021-02;517,96;
2021-03;523,53;
2021-04;532,32;
2021-05;537,05;
2021-06;547,48;
2021-07;557,36;
2021-08;563,60;
2021-09;570,66;
2021-10;584,32;
2021-11;604,84;
2021-12;686,95;
2022-01;763,23;
2022-02;799,93;
2022-03;843,64;
2022-04;904,79;
;;
;;
Seri Açýklamalarý;;
TP.FE.OKTG01;Tüketici Fiyat Endeksi (Genel)-Düzey;Gözlem Deðeri: Orijinal Gözlem
;;
Notlar;;
TP.FE.OKTG01;Uygulama Deðiþiklik Linki;http://www.tuik.gov.tr/PreTablo.do?alt_id=114
;Veri Kaynaðý;TÜÝK
;Veri Yayýnlama Takvim Linki;http://www.tuik.gov.tr/takvim/tkvim.zul#tb1
;Metaveri Linki;http://www.tuik.gov.tr/PreTablo.do?alt_id=114
;Revizyon Politika Linki;http://www.tuik.gov.tr/PreTablo.do?alt_id=114
;Etiketler;Özel, Kapsamlý, Tüketici, Fiyat, Endeksi, TÜFE
